X,Y,Z,Name,FID,Field_1,LINEA,RUTA,SISTEMA
-99.18893813,19.40177887,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18915853,19.40169496,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18940732,19.4016409,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18984513,19.40161055,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19088771,19.40156762,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19142732,19.40152465,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19178315,19.40147622,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19202675,19.40140277,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19231325,19.40128292,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19261231,19.40112718,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19313882,19.40085377,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.1937645,19.40054013,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19408875,19.40038436,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19543301,19.3997433,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19616337,19.39939879,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19649079,19.39925796,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19673637,19.39916205,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19715515,19.39903307,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19749524,19.398952,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.19788257,19.39885893,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.20040475,19.39828238,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.13953278,19.3437571,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14062447,19.34381043,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14295811,19.34393983,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14318636,19.34395759,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.1433806,19.34398469,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14349769,19.34400899,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14367306,19.34406337,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.1438651,19.34416078,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14399214,19.34425106,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.1441177,19.34437434,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14421906,19.34448473,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14430684,19.34461522,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14438558,19.34477871,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.144428,19.34489345,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14447954,19.34505983,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14456447,19.34539118,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14531385,19.34845936,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14538212,19.3487405,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14554014,19.34967722,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14556775,19.35012338,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14555908,19.35058392,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14549166,19.35125253,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14545863,19.35150076,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14540897,19.3517576,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14534123,19.35206898,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14522223,19.35252597,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14477033,19.35401218,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14417919,19.35596111,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14328695,19.35985536,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14277156,19.36271204,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
