NOMBRE,LINEA,SISTEMA,TIPO,ALCALDIAS,AÑO,CVE_EST,lon,lat
Buenavista,B,STC Metro,Terminal,Cuauhtémoc,1999,STCLB01,-99.15235137742634,19.446185903359645
Lagunilla,B,STC Metro,Intermedia,Cuauhtémoc,1999,STCLB04,-99.13023042923575,19.443220041827658
Tepito,B,STC Metro,Intermedia,Cuauhtémoc,1999,STCLB05,-99.12406744029855,19.442789391295424
Ricardo Flores Magón,B,STC Metro,Intermedia,Venustiano Carranza,1999,STCLB08,-99.10370874117547,19.43656537337327
Romero Rubio,B,STC Metro,Intermedia,Venustiano Carranza,1999,STCLB09,-99.09420167473102,19.440835354165493
Deportivo Oceanía,B,STC Metro,Intermedia,Gustavo A. Madero,1999,STCLB11,-99.07933423067036,19.451011097259663
Bosque de Aragón,B,STC Metro,Intermedia,Gustavo A. Madero,1999,STCLB12,-99.0692886960206,19.458094772963857
Villa de Aragón,B,STC Metro,Intermedia,Gustavo A. Madero,1999,STCLB13,-99.06138196686965,19.461670791944844
Nezahualcóyotl,B,STC Metro,Intermedia,Estado de México - Nezahualcóyotl,2000,STCLB14,-99.05461333650334,19.472885633631996
Impulsora,B,STC Metro,Intermedia,Estado de México - Nezahualcóyotl,2000,STCLB15,-99.0489571600943,19.485753223001417
Río de los Remedios,B,STC Metro,Intermedia,Estado de México - Nezahualcóyotl,2000,STCLB16,-99.04678664175502,19.490688675585073
Múzquiz,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB17,-99.0420671972603,19.501490328356404
Ecatepec,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB18,-99.0360693374375,19.515125082713773
Olímpica,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB19,-99.03334249438895,19.521344934228452
Plaza Aragón,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB20,-99.03018454966082,19.528475893853724
Ciudad Azteca,B,STC Metro,Terminal,Estado de México - Ecatepec,2000,STCLB21,-99.0275097173377,19.53451306511141
